datetime,hour,day,month,weekday,is_weekend,CO_GT,PT08_S1_CO,C6H6_GT,PT08_S2_NMHC,NOx_GT,PT08_S3_NOx,NO2_GT,PT08_S4_NO2,PT08_S5_O3,Temperature,RelativeHumidity,AbsoluteHumidity,pollution_index
2004-03-11 22:00:00,22,11,3,Thursday,False,1.5,965.0,4.7,749.0,94.0,1325.0,85.0,1333.0,821.0,8.2,63.4,0.6905,0.1421648734840403
2004-03-11 23:00:00,23,11,3,Thursday,False,1.0,913.0,2.6,629.0,47.0,1565.0,53.0,1252.0,552.0,8.2,60.8,0.6657,0.08587530785791998
2004-03-12 00:00:00,0,12,3,Friday,False,1.7,1080.0,5.9,805.0,122.0,1254.0,97.0,1375.0,816.0,8.3,58.5,0.6438,0.16596802584864645
2004-03-12 01:00:00,1,12,3,Friday,False,1.9,1044.0,6.4,829.0,133.0,1247.0,110.0,1378.0,832.0,7.7,59.7,0.6308,0.1869207657747979
2004-03-12 02:00:00,2,12,3,Friday,False,1.4,988.0,4.1,718.0,82.0,1396.0,91.0,1304.0,692.0,7.1,61.8,0.6276,0.14254898220863976
2004-03-12 03:00:00,3,12,3,Friday,False,0.8,889.0,1.9,574.0,51.5,1680.0,61.5,1187.0,512.0,7.0,62.3,0.6261,0.08962380544744282
2004-03-12 04:00:00,4,12,3,Friday,False,0.7,831.0,1.1,506.0,21.0,1893.0,32.0,1134.0,384.0,6.1,65.9,0.6248,0.050822922471556585
2004-03-12 05:00:00,5,12,3,Friday,False,0.6,847.0,1.0,501.0,30.0,1895.0,44.0,1155.0,394.0,6.3,65.0,0.6233,0.06186352745236066
2004-03-12 06:00:00,6,12,3,Friday,False,0.8,927.0,1.8,571.0,56.0,1685.0,71.0,1223.0,487.0,6.8,62.9,0.6234,0.10000821384497553
2004-03-12 07:00:00,7,12,3,Friday,False,1.4,1091.0,4.4,730.0,109.0,1387.0,104.0,1361.0,748.0,6.4,65.1,0.6316,0.16146292766286957
2004-03-12 08:00:00,8,12,3,Friday,False,4.4,1587.0,17.9,1236.0,307.0,897.0,141.0,1900.0,1400.0,7.3,63.1,0.6499,0.3273830148957592
2004-03-12 09:00:00,9,12,3,Friday,False,3.75,1545.0,22.1,1353.0,247.0,767.0,131.5,2058.0,1588.0,9.2,56.2,0.6561,0.28611163527468203
2004-03-12 10:00:00,10,12,3,Friday,False,3.1,1350.0,14.0,1118.0,187.0,912.0,122.0,1712.0,1237.0,13.2,41.7,0.632,0.2448402556536049
2004-03-12 11:00:00,11,12,3,Friday,False,2.7,1263.0,11.6,1037.0,216.0,969.0,143.0,1598.0,1167.0,14.3,38.4,0.6243,0.26079567781094626
2004-03-12 12:00:00,12,12,3,Friday,False,2.1,1206.0,10.2,986.0,143.0,1035.0,113.0,1537.0,959.0,15.0,36.5,0.6195,0.19778589007195568
2004-03-12 13:00:00,13,12,3,Friday,False,2.5,1252.0,11.0,1016.0,160.0,1008.0,116.0,1593.0,983.0,16.1,34.5,0.6262,0.21588051071420136
2004-03-12 14:00:00,14,12,3,Friday,False,2.7,1287.0,12.8,1078.0,163.0,949.0,123.0,1660.0,1061.0,16.3,35.7,0.656,0.22911062935593787
2004-03-12 15:00:00,15,12,3,Friday,False,2.9,1353.0,14.2,1122.0,190.0,922.0,126.0,1740.0,1139.0,15.8,37.0,0.661,0.243812359385436
2004-03-12 16:00:00,16,12,3,Friday,False,2.8,1309.0,12.7,1073.0,178.0,954.0,120.0,1657.0,1112.0,15.9,37.2,0.6657,0.23236214858340823
2004-03-12 17:00:00,17,12,3,Friday,False,2.4,1274.0,11.7,1041.0,150.0,1006.0,119.0,1610.0,994.0,16.9,34.3,0.6549,0.21375740493741938
2004-03-12 18:00:00,18,12,3,Friday,False,3.9,1510.0,19.3,1277.0,206.0,812.0,149.0,1910.0,1410.0,15.1,39.6,0.6766,0.29835431575762894
2004-03-12 19:00:00,19,12,3,Friday,False,3.7,1525.0,18.2,1246.0,202.0,821.0,145.0,1847.0,1448.0,14.4,43.4,0.7084,0.28785709430741163
2004-03-12 20:00:00,20,12,3,Friday,False,6.6,1843.0,32.6,1610.0,340.0,624.0,170.0,2390.0,1887.0,12.9,50.5,0.7478,0.4255770418483518
2004-03-12 21:00:00,21,12,3,Friday,False,4.4,1598.0,20.1,1299.0,274.0,752.0,149.0,1941.0,1627.0,12.1,53.3,0.7536,0.32782503247230105
2004-03-12 22:00:00,22,12,3,Friday,False,3.5,1484.0,14.3,1127.0,253.0,839.0,139.0,1723.0,1491.0,11.0,59.1,0.774,0.2878000342269947
2004-03-12 23:00:00,23,12,3,Friday,False,5.4,1677.0,21.8,1346.0,300.0,741.0,134.0,2062.0,1657.0,9.7,64.6,0.7771,0.3471484705782178
2004-03-13 00:00:00,0,13,3,Saturday,True,2.7,1280.0,9.6,964.0,193.0,963.0,113.0,1544.0,1285.0,9.5,64.1,0.7597,0.2260191771212119
2004-03-13 01:00:00,1,13,3,Saturday,True,1.9,1196.0,7.4,873.0,139.0,1071.0,97.0,1463.0,1144.0,9.1,63.9,0.7423,0.17545434909511107
2004-03-13 02:00:00,2,13,3,Saturday,True,1.6,1184.0,5.4,782.0,83.0,1176.0,82.0,1365.0,1043.0,8.8,63.9,0.7256,0.1395486427679313
2004-03-13 03:00:00,3,13,3,Saturday,True,1.7,1172.0,5.4,783.0,96.0,1179.0,82.5,1380.0,996.0,7.8,67.5,0.7173,0.1458004731437259
2004-03-13 04:00:00,4,13,3,Saturday,True,1.35,1147.0,6.2,821.0,109.0,1132.0,83.0,1412.0,992.0,7.0,71.1,0.7158,0.13934043911274088
2004-03-13 05:00:00,5,13,3,Saturday,True,1.0,978.0,2.6,625.0,62.0,1420.0,65.0,1274.0,819.0,8.3,63.6,0.6982,0.1010948677366122
2004-03-13 06:00:00,6,13,3,Saturday,True,1.2,1100.0,2.9,646.0,53.0,1406.0,60.0,1268.0,835.0,7.2,67.5,0.6887,0.09978247457006949
2004-03-13 07:00:00,7,13,3,Saturday,True,1.5,1112.0,5.1,770.0,139.0,1228.0,77.0,1409.0,940.0,6.3,71.9,0.6932,0.14443104818915045
2004-03-13 08:00:00,8,13,3,Saturday,True,2.7,1336.0,11.8,1043.0,256.0,935.0,96.0,1678.0,1192.0,6.5,71.6,0.6945,0.22347190060382963
2004-03-13 09:00:00,9,13,3,Saturday,True,3.7,1408.0,15.1,1153.0,295.0,830.0,119.0,1777.0,1411.0,9.6,59.7,0.7124,0.28320455884918894
2004-03-13 10:00:00,10,13,3,Saturday,True,3.2,1447.0,12.9,1081.0,250.0,869.0,126.0,1667.0,1465.0,12.4,51.2,0.7335,0.2658278970648824
2004-03-13 11:00:00,11,13,3,Saturday,True,4.1,1542.0,16.1,1184.0,296.0,808.0,158.0,1780.0,1583.0,15.6,42.2,0.7451,0.33319121502911364
2004-03-13 12:00:00,12,13,3,Saturday,True,3.6,1451.0,14.0,1117.0,239.0,875.0,161.0,1679.0,1387.0,18.4,33.8,0.709,0.30916158778761277
2004-03-13 13:00:00,13,13,3,Saturday,True,2.8,1328.0,12.3,1059.0,153.0,987.0,124.0,1600.0,1101.0,19.4,31.3,0.695,0.230664854505509
2004-03-13 14:00:00,14,13,3,Saturday,True,2.0,1207.0,8.6,924.0,118.0,1088.0,102.0,1488.0,850.0,18.0,34.8,0.7127,0.17847083782871023
2004-03-13 15:00:00,15,13,3,Saturday,True,2.0,1240.0,9.2,947.0,119.0,1049.0,116.0,1532.0,947.0,18.4,33.6,0.7042,0.19250322663324634
2004-03-13 16:00:00,16,13,3,Saturday,True,2.5,1306.0,10.2,987.0,138.0,1004.0,124.0,1554.0,1078.0,17.6,35.1,0.7012,0.21880503788225755
2004-03-13 17:00:00,17,13,3,Saturday,True,2.3,1326.0,10.6,1000.0,148.0,976.0,125.0,1602.0,1084.0,16.7,37.8,0.7117,0.2163983405633955
2004-03-13 18:00:00,18,13,3,Saturday,True,3.2,1473.0,15.5,1163.0,227.0,831.0,148.0,1779.0,1395.0,16.1,41.0,0.7451,0.2823334476571993
2004-03-13 19:00:00,19,13,3,Saturday,True,4.2,1609.0,19.6,1286.0,277.0,758.0,165.0,1922.0,1612.0,15.8,42.4,0.7569,0.3386314557307594
2004-03-13 20:00:00,20,13,3,Saturday,True,4.2,1611.0,19.2,1274.0,279.0,754.0,161.0,1915.0,1697.0,15.7,44.1,0.7786,0.33513804793549234
2004-03-13 21:00:00,21,13,3,Saturday,True,4.2,1621.0,18.3,1247.0,283.0,762.0,159.0,1860.0,1886.0,15.3,46.8,0.8091,0.3340683921082717
2004-03-13 22:00:00,22,13,3,Saturday,True,3.1,1444.0,13.1,1089.0,214.0,844.0,143.0,1748.0,1624.0,14.6,48.6,0.806,0.2716437474589195
2004-03-13 23:00:00,23,13,3,Saturday,True,2.6,1418.0,10.9,1010.0,172.0,892.0,130.0,1603.0,1536.0,14.7,49.3,0.8193,0.23522026786731395
2004-03-14 00:00:00,0,14,3,Sunday,True,2.9,1534.0,11.0,1013.0,190.0,889.0,129.0,1611.0,1535.0,13.9,53.6,0.8498,0.2467709392670928
2004-03-14 01:00:00,1,14,3,Sunday,True,2.8,1484.0,11.9,1045.0,174.0,880.0,119.0,1624.0,1530.0,14.6,51.5,0.8536,0.23047322452897198
2004-03-14 02:00:00,2,14,3,Sunday,True,2.5,1367.0,8.6,925.0,128.0,953.0,104.0,1543.0,1337.0,12.5,58.9,0.8537,0.19682434510316885
2004-03-14 03:00:00,3,14,3,Sunday,True,2.4,1344.0,9.7,968.0,99.0,921.0,93.0,1620.0,1278.0,11.6,63.4,0.8674,0.17660656209937275
2004-03-14 04:00:00,4,14,3,Sunday,True,1.7999999999999998,1130.0,5.2,773.0,70.0,1130.0,82.0,1452.0,1051.0,12.1,61.1,0.8603,0.14226448531026592
2004-03-14 05:00:00,5,14,3,Sunday,True,1.2,1062.0,3.7,691.0,53.0,1272.0,70.0,1377.0,929.0,11.5,63.1,0.8533,0.1096444075089255
2004-03-14 06:00:00,6,14,3,Sunday,True,1.0,1076.0,2.5,618.0,44.0,1395.0,63.0,1333.0,872.0,11.6,62.2,0.8473,0.09506019272636301
2004-03-14 07:00:00,7,14,3,Sunday,True,0.9,1028.0,2.4,615.0,74.0,1384.0,67.0,1340.0,853.0,10.4,67.6,0.853,0.10295058784897326
2004-03-14 08:00:00,8,14,3,Sunday,True,1.4,1155.0,4.2,722.0,101.0,1225.0,84.0,1414.0,959.0,11.6,62.7,0.853,0.1399336002640562
2004-03-14 09:00:00,9,14,3,Sunday,True,1.6,1235.0,6.4,828.0,118.0,1055.0,83.0,1527.0,1093.0,12.4,60.0,0.8627,0.14843373021663522
2004-03-14 10:00:00,10,14,3,Sunday,True,2.2,1332.0,8.6,923.0,144.0,952.0,98.0,1614.0,1225.0,14.5,53.1,0.8728,0.18604353211087146
2004-03-14 11:00:00,11,14,3,Sunday,True,2.8,1445.0,10.9,1009.0,176.0,878.0,114.0,1696.0,1355.0,16.9,46.1,0.8789,0.2259936234398193
2004-03-14 12:00:00,12,14,3,Sunday,True,2.8,1416.0,10.7,1002.0,161.0,907.0,119.0,1677.0,1262.0,19.3,38.3,0.8474,0.22753934955718233
2004-03-14 13:00:00,13,14,3,Sunday,True,2.0,1281.0,7.5,880.0,113.0,1084.0,104.0,1525.0,980.0,21.2,31.4,0.7812,0.17931481096579313
2004-03-14 14:00:00,14,14,3,Sunday,True,1.8,1207.0,7.5,879.0,103.0,1104.0,102.0,1490.0,872.0,21.4,30.2,0.7616,0.16943587996252096
2004-03-14 15:00:00,15,14,3,Sunday,True,1.9,1258.0,8.2,906.0,112.0,1081.0,107.0,1511.0,900.0,21.9,29.0,0.7525,0.17922284940025013
2004-03-14 16:00:00,16,14,3,Sunday,True,3.0,1458.0,11.9,1045.0,170.0,974.0,129.0,1646.0,1099.0,22.2,28.4,0.7516,0.2450821442214016
2004-03-14 17:00:00,17,14,3,Sunday,True,2.9,1438.0,12.0,1051.0,180.0,943.0,128.0,1668.0,1206.0,21.3,30.8,0.7696,0.24352791907183055
2004-03-14 18:00:00,18,14,3,Sunday,True,2.5,1478.0,12.2,1055.0,160.0,929.0,121.0,1671.0,1262.0,19.7,36.7,0.8307,0.2208114771836294
2004-03-14 19:00:00,19,14,3,Sunday,True,4.6,1808.0,20.6,1312.0,261.0,753.0,157.0,1993.0,1698.0,18.4,41.7,0.8732,0.3384304213657205
2004-03-14 20:00:00,20,14,3,Sunday,True,5.9,1898.0,23.1,1381.0,325.0,681.0,173.0,2103.0,1905.0,17.6,46.1,0.921,0.4053763700785087
2004-03-14 21:00:00,21,14,3,Sunday,True,3.4,1560.0,14.7,1140.0,217.0,784.0,146.0,1818.0,1648.0,16.7,49.6,0.932,0.2837539516821757
2004-03-14 22:00:00,22,14,3,Sunday,True,2.1,1324.0,9.0,940.0,146.0,924.0,121.0,1587.0,1423.0,16.3,51.0,0.9341,0.20635248449345353
2004-03-14 23:00:00,23,14,3,Sunday,True,2.2,1349.0,8.8,933.0,152.0,933.0,119.0,1617.0,1349.0,14.7,55.9,0.9314,0.20855905280357043
2004-03-15 00:00:00,0,15,3,Monday,False,1.8,1239.0,7.4,872.0,104.0,985.0,99.0,1547.0,1250.0,14.8,54.7,0.9164,0.16670298277100182
2004-03-15 01:00:00,1,15,3,Monday,False,1.8,1239.0,6.9,853.0,106.0,1010.0,93.0,1543.0,1174.0,14.0,57.0,0.9094,0.16123718838796355
2004-03-15 02:00:00,2,15,3,Monday,False,1.8,1224.0,7.0,855.0,108.0,998.0,88.0,1566.0,1149.0,13.4,61.3,0.9361,0.15675758729881087
2004-03-15 03:00:00,3,15,3,Monday,False,1.1,1078.0,4.4,734.0,87.0,1128.0,79.5,1487.0,1021.0,12.6,63.5,0.923,0.12386159650845724
2004-03-15 04:00:00,4,15,3,Monday,False,1.05,1078.0,4.0,711.0,66.0,1150.0,71.0,1468.0,1013.0,12.3,65.4,0.9351,0.10932718763900755
2004-03-15 05:00:00,5,15,3,Monday,False,1.0,1075.0,3.9,703.0,88.0,1156.0,74.0,1464.0,1010.0,11.9,67.4,0.9375,0.11583835732516194
2004-03-15 06:00:00,6,15,3,Monday,False,1.4,1157.0,6.4,830.0,138.0,1030.0,80.0,1584.0,1083.0,11.4,70.5,0.9475,0.14433908662360748
2004-03-15 07:00:00,7,15,3,Monday,False,2.2,1314.0,9.7,966.0,228.0,897.0,89.0,1710.0,1235.0,11.3,70.2,0.9401,0.19612513843746504
2004-03-15 08:00:00,8,15,3,Monday,False,5.5,1797.0,25.9,1451.0,360.0,652.0,114.0,2323.0,1680.0,12.4,63.9,0.917,0.3437904248658279
2004-03-15 09:00:00,9,15,3,Monday,False,8.1,1961.0,36.7,1701.0,478.0,537.0,149.0,2665.0,2184.0,14.8,54.3,0.9076,0.4783840752716844
2004-03-15 10:00:00,10,15,3,Monday,False,5.8,1771.0,26.6,1470.0,394.0,622.0,157.0,2262.0,1973.0,17.4,45.6,0.8993,0.4023445242387759
2004-03-15 11:00:00,11,15,3,Monday,False,4.2,1564.0,20.1,1300.0,319.0,710.0,155.0,2029.0,1798.0,19.8,38.5,0.8801,0.3382481957776853
2004-03-15 12:00:00,12,15,3,Monday,False,3.1,1430.0,14.1,1120.0,201.0,831.0,134.0,1783.0,1522.0,22.0,34.1,0.8904,0.25983413284215945
2004-03-15 13:00:00,13,15,3,Monday,False,2.9,1417.0,14.9,1146.0,171.0,830.0,119.0,1831.0,1404.0,23.3,32.2,0.9096,0.23262103521562114
2004-03-15 14:00:00,14,15,3,Monday,False,2.9,1400.0,15.4,1162.0,159.0,838.0,111.0,1829.0,1263.0,23.9,30.0,0.8757,0.2220232965828843
2004-03-15 15:00:00,15,15,3,Monday,False,2.5,1317.0,12.1,1053.0,153.0,926.0,104.0,1707.0,1137.0,24.4,28.9,0.8736,0.20246641235661053
2004-03-15 16:00:00,16,15,3,Monday,False,2.3,1318.0,11.5,1033.0,143.0,950.0,99.0,1675.0,1068.0,24.4,29.4,0.8848,0.18962890147168154
2004-03-15 17:00:00,17,15,3,Monday,False,2.8,1445.0,14.8,1141.0,156.0,857.0,110.0,1824.0,1252.0,23.8,31.3,0.9137,0.21753519646152356
2004-03-15 18:00:00,18,15,3,Monday,False,6.1,1917.0,32.1,1601.0,314.0,631.0,162.0,2447.0,1843.0,22.5,35.4,0.9547,0.397695451768377
2004-03-15 19:00:00,19,15,3,Monday,False,8.0,2040.0,39.2,1754.0,404.0,542.0,187.0,2679.0,2122.0,20.4,42.5,1.0086,0.49633404261208786
2004-03-15 20:00:00,20,15,3,Monday,False,6.5,1895.0,31.0,1573.0,320.0,565.0,165.0,2443.0,1992.0,18.3,52.6,1.0945,0.41330756281910846
2004-03-15 21:00:00,21,15,3,Monday,False,4.2,1595.0,19.9,1294.0,256.0,678.0,145.0,2058.0,1707.0,16.7,57.4,1.0786,0.31416825336015636
2004-03-15 22:00:00,22,15,3,Monday,False,3.2,1439.0,15.3,1159.0,193.0,764.0,125.0,1856.0,1494.0,15.7,60.2,1.0654,0.2519777904331499
2004-03-15 23:00:00,23,15,3,Monday,False,1.4,1142.0,6.9,852.0,89.0,1008.0,101.0,1547.0,1164.0,15.3,61.4,1.058,0.15399069397845944
2004-03-16 00:00:00,0,16,3,Tuesday,False,2.1,1304.0,11.1,1019.0,127.0,852.0,103.0,1731.0,1272.0,14.1,65.7,1.0494,0.18431303409089703
2004-03-16 01:00:00,1,16,3,Tuesday,False,1.2,1074.0,5.4,784.0,79.0,1098.0,88.0,1483.0,1040.0,14.8,60.6,1.0148,0.13326363674244568
2004-03-16 02:00:00,2,16,3,Tuesday,False,0.8,968.0,2.8,640.0,43.0,1320.0,61.0,1386.0,867.0,14.8,59.2,0.9879,0.08721240593432984
2004-03-16 03:00:00,3,16,3,Tuesday,False,0.7,929.0,2.3,608.0,51.0,1376.0,60.0,1364.0,826.0,13.6,62.1,0.9636,0.08520681540448342
2004-03-16 04:00:00,4,16,3,Tuesday,False,0.6499999999999999,941.0,2.6,626.0,59.0,1316.0,59.0,1373.0,840.0,12.3,66.2,0.945,0.08461365425316808
2004-03-16 05:00:00,5,16,3,Tuesday,False,0.6,937.0,2.0,585.0,38.0,1412.0,52.0,1348.0,793.0,12.8,63.2,0.9283,0.07155853532454681
2004-03-16 06:00:00,6,16,3,Tuesday,False,0.9,1017.0,3.5,681.0,82.0,1246.0,64.0,1418.0,870.0,11.2,68.5,0.9081,0.1017974694884178
2004-03-16 07:00:00,7,16,3,Tuesday,False,1.3,1171.0,5.1,770.0,99.0,1162.0,70.0,1467.0,930.0,11.0,66.5,0.8705,0.1228506700123203
2004-03-16 08:00:00,8,16,3,Tuesday,False,3.4,1541.0,16.2,1185.0,263.0,770.0,97.0,1889.0,1407.0,11.7,63.7,0.8719,0.24581188402811394
2004-03-16 09:00:00,9,16,3,Tuesday,False,3.7,1539.0,19.7,1287.0,229.0,698.0,95.0,2055.0,1507.0,13.6,56.3,0.8743,0.24464086224684847
2004-03-16 10:00:00,10,16,3,Tuesday,False,5.3,1735.0,25.1,1431.0,396.0,628.0,150.0,2211.0,1843.0,17.8,42.9,0.8672,0.38176824277654126
2004-03-16 11:00:00,11,16,3,Tuesday,False,4.1,1571.0,20.0,1297.0,314.0,730.0,162.0,1973.0,1729.0,21.4,33.3,0.8417,0.341198276627134
2004-03-16 12:00:00,12,16,3,Tuesday,False,3.3,1452.0,18.3,1250.0,217.0,776.0,154.0,1868.0,1583.0,24.4,27.4,0.8231,0.28881863927619844
2004-03-16 13:00:00,13,16,3,Tuesday,False,4.0,1579.0,22.3,1359.0,252.0,724.0,161.0,1998.0,1671.0,25.3,26.1,0.8264,0.323394897787651
2004-03-16 14:00:00,14,16,3,Tuesday,False,3.8,1466.0,20.4,1309.0,263.0,773.0,161.0,1897.0,1491.0,25.8,23.2,0.7589,0.32022768986504097
2004-03-16 15:00:00,15,16,3,Tuesday,False,2.8,1280.0,14.6,1136.0,180.0,893.0,128.0,1675.0,1240.0,27.0,20.2,0.7094,0.2407030603147684
2004-03-16 16:00:00,16,16,3,Tuesday,False,2.9,1407.0,16.6,1197.0,184.0,905.0,129.0,1759.0,1313.0,28.2,18.6,0.7014,0.2454168431262668
2004-03-16 17:00:00,17,16,3,Tuesday,False,2.9,1389.0,15.8,1173.0,190.0,898.0,133.0,1739.0,1363.0,28.0,19.1,0.7098,0.2507157124426352
2004-03-16 18:00:00,18,16,3,Tuesday,False,3.4,1447.0,17.8,1235.0,184.0,859.0,139.0,1778.0,1296.0,23.9,25.7,0.7519,0.26940306985043355
2004-03-16 19:00:00,19,16,3,Tuesday,False,3.9,1551.0,19.1,1271.0,181.0,800.0,137.0,1875.0,1432.0,21.3,34.8,0.873,0.2808779289775601
2004-03-16 20:00:00,20,16,3,Tuesday,False,3.2,1474.0,15.8,1173.0,166.0,854.0,143.0,1776.0,1432.0,20.4,36.7,0.8704,0.26363583708937366
2004-03-16 21:00:00,21,16,3,Tuesday,False,5.1,1800.0,24.9,1426.0,317.0,700.0,177.0,2106.0,2034.0,19.0,41.3,0.9007,0.38491681167645253
2004-03-16 22:00:00,22,16,3,Tuesday,False,2.6,1379.0,13.5,1101.0,184.0,818.0,138.0,1710.0,1602.0,17.9,45.9,0.9342,0.24581800650005078
2004-03-16 23:00:00,23,16,3,Tuesday,False,1.7,1201.0,9.1,943.0,130.0,935.0,117.0,1560.0,1362.0,16.7,48.9,0.9226,0.18749735324745984
2004-03-17 00:00:00,0,17,3,Wednesday,False,1.7,1205.0,8.6,925.0,132.0,922.0,107.0,1547.0,1314.0,15.5,52.9,0.9271,0.17808678568887915
2004-03-17 01:00:00,1,17,3,Wednesday,False,1.2,1072.0,5.4,784.0,95.0,1066.0,90.0,1442.0,1114.0,15.5,51.9,0.9059,0.13884694637241954
2004-03-17 02:00:00,2,17,3,Wednesday,False,0.9,998.0,4.1,714.0,70.0,1169.0,79.0,1383.0,992.0,14.1,55.6,0.891,0.1138821766150498
2004-03-17 03:00:00,3,17,3,Wednesday,False,0.7,933.0,2.6,625.0,62.0,1292.0,69.5,1332.0,884.0,13.1,57.9,0.8666,0.09705816128791096
2004-03-17 04:00:00,4,17,3,Wednesday,False,0.6,883.0,1.9,577.0,54.0,1396.0,60.0,1303.0,808.0,12.7,57.9,0.8447,0.08305900471783427
2004-03-17 05:00:00,5,17,3,Wednesday,False,0.5,869.0,1.6,554.0,28.0,1460.0,40.0,1268.0,667.0,11.8,58.0,0.8026,0.05464253013948078
2004-03-17 06:00:00,6,17,3,Wednesday,False,0.5,891.0,1.9,576.0,46.0,1417.0,53.0,1289.0,733.0,11.9,57.4,0.7978,0.0715253313824716
